Date,Portfolio_Value
2021-12-01,14790.959481926575
2021-12-02,14845.36719870252
2021-12-03,14837.86142532224
2021-12-06,15093.749043182757
2021-12-07,15369.73987663425
2021-12-08,15470.955562434792
2021-12-09,15470.71130277595
2021-12-10,15561.156770259888
2021-12-13,15575.940537550121
2021-12-14,15512.246967902593
2021-12-15,15755.456638285845
2021-12-16,15643.550830540973
2021-12-17,15416.752825346171
2021-12-20,15322.754364228915
2021-12-21,15432.113231936937
2021-12-22,15588.98511122813
2021-12-23,15657.457599475534
2021-12-27,15831.517011032667
2021-12-28,15885.363100758274
2021-12-29,15921.266389179704
2021-12-30,15923.501182208278
2021-12-31,15934.357992038515
2022-01-03,15963.247336586863
2022-01-04,15993.804728324993
2022-01-05,15883.223911923591
2022-01-06,15568.51156241922
2022-01-07,15644.859964965914
2022-01-10,15543.524326458795
2022-01-11,15613.805282437066
2022-01-12,15575.747105479762
2022-01-13,15433.324588681697
2022-01-14,15390.186633060932
2022-01-18,15226.906045292008
2022-01-19,15326.836196032698
2022-01-20,15279.175012612812
2022-01-21,15147.898917251765
2022-01-24,15022.348397391994
2022-01-25,14903.573740413916
2022-01-26,14863.658032599502
2022-01-27,15022.673151331062
2022-01-28,15296.283873804803
2022-01-31,15639.2843236174
2022-02-01,15606.590034067798
2022-02-02,15670.169131738043
2022-02-03,15496.723912340982
2022-02-04,15496.308585048291
2022-02-07,15506.424835269656
2022-02-08,15556.35668260686
2022-02-09,15667.073487491603
2022-02-10,15365.362350661824
2022-02-11,15174.52783798775
2022-02-14,15035.97628552494
2022-02-15,15243.308532563808
2022-02-16,15276.97853334639
2022-02-17,15149.051642239845
2022-02-18,15047.31835200805
2022-02-22,14856.055590724392
2022-02-23,14703.219727668322
2022-02-24,14798.082471539832
2022-02-25,15270.832961660297
2022-02-28,15402.762603345041
2022-03-01,15333.83039590879
2022-03-02,15463.906360942328
2022-03-03,15403.665232373967
2022-03-04,15297.265120515154
2022-03-07,15337.6433972598
2022-03-08,15096.635556568943
2022-03-09,15404.682911812173
2022-03-10,15218.97091161892
2022-03-11,15014.800663521959
2022-03-14,15029.674044516987
2022-03-15,15355.977893780559
2022-03-16,15481.627524736692
2022-03-17,15616.507245224226
2022-03-18,15680.78332895291
2022-03-21,15719.43800993051
2022-03-22,15866.26861774813
2022-03-23,15799.00943332587
2022-03-24,15987.867837246165
2022-03-25,16071.746555840966
2022-03-28,16130.818573611057
2022-03-29,16316.259520953665
2022-03-30,16384.291071568165
2022-03-31,16125.071979037482
2022-04-01,16223.235585481947
2022-04-04,16319.014536397934
2022-04-05,16277.524658582071
2022-04-06,16242.846485822229
2022-04-07,16303.818684976844
2022-04-08,16188.58745899026
2022-04-11,15972.477151795463
2022-04-12,16124.033682380194
2022-04-13,16168.174661465224
2022-04-14,16019.585576107842
2022-04-18,15895.635815052834
2022-04-19,16033.721532550113
2022-04-20,16016.018157716124
2022-04-21,15674.93590211775
2022-04-22,15458.736655044091
2022-04-25,15470.89201662915
2022-04-26,15235.56826711744
2022-04-27,15206.076432351316
2022-04-28,15379.615262812269
2022-04-29,15020.949303600819
2022-05-02,14882.577769131769
2022-05-03,14937.95494618211
2022-05-04,15358.624566734403
2022-05-05,14853.815164776119
2022-05-06,14847.859590475737
2022-05-09,14519.61337114588
2022-05-10,14596.833233180556
2022-05-11,14479.085097950929
2022-05-12,14312.95793343795
2022-05-13,14540.690304207454
2022-05-16,14541.094668714339
2022-05-17,14849.016014935145
2022-05-18,14408.935414721916
2022-05-19,14259.071715795246
2022-05-20,14259.058607545072
2022-05-23,14582.710954971702
2022-05-24,14689.111165228749
2022-05-25,14679.83467949068
2022-05-26,14880.211839848407
2022-05-27,15253.150969961265
2022-05-31,15153.129865084267
2022-06-01,15089.46973133144
2022-06-02,15351.843301402425
2022-06-03,15207.986304184244
2022-06-06,15303.456205103697
2022-06-07,15457.049169503687
2022-06-08,15207.015469436112
2022-06-09,14810.93469288429
2022-06-10,14541.18971259275
2022-06-13,14081.604553979987
2022-06-14,13925.522365409295
2022-06-15,14179.301331673187
2022-06-16,13796.529057396181
2022-06-17,13836.10953832203
2022-06-21,14224.215977573305
2022-06-22,14305.178395152896
2022-06-23,14584.097073435152
2022-06-24,14918.737150877483
2022-06-27,14849.710471256734
2022-06-28,14628.420716262593
2022-06-29,14661.785822111355
2022-06-30,14726.857691033189
2022-07-01,14960.444293803243
2022-07-05,14737.775156953834
2022-07-06,14931.444672017646
2022-07-07,15053.875123136984
2022-07-08,15031.327794742692
2022-07-11,14928.88505726912
2022-07-12,14877.35226057371
2022-07-13,14830.37793738167
2022-07-14,14851.972680956369
2022-07-15,14849.076885681072
2022-07-18,14616.170292692077
2022-07-19,14859.349974291072
2022-07-20,14850.009034536548
2022-07-21,14991.613356811333
2022-07-22,15014.701571351188
2022-07-25,15098.257824035782
2022-07-26,14898.610031528811
2022-07-27,15166.866428040383
2022-07-28,15536.15743744605
2022-07-29,15762.498554010663
2022-08-01,15850.014619506288
2022-08-02,15817.922022024355
2022-08-03,16050.968763861129
2022-08-04,16089.219651422674
2022-08-05,16007.59951766248
2022-08-08,15964.198617277989
2022-08-09,16015.954405002109
2022-08-10,16229.706093283266
2022-08-11,16126.698180688616
2022-08-12,16269.396704346775
2022-08-15,16331.123401636012
2022-08-16,16352.024356011289
2022-08-17,16389.74957058177
2022-08-18,16347.322337066656
2022-08-19,16278.643667068985
2022-08-22,15970.821279271051
2022-08-23,15926.166811379531
2022-08-24,15974.235231038416
2022-08-25,16156.4785296324
2022-08-26,15735.574822517532
2022-08-29,15647.40105590313
2022-08-30,15488.686931417915
2022-08-31,15340.915939534434
2022-09-01,15442.25269951546
2022-09-02,15217.880063767285
2022-09-06,15297.898403390704
2022-09-07,15535.221948363007
2022-09-08,15510.358040196388
2022-09-09,15660.354980356677
2022-09-12,15825.141733142547
2022-09-13,15317.269416832205
2022-09-14,15512.961304573413
2022-09-15,15271.643955035386
2022-09-16,15261.216581519218
2022-09-19,15414.420005145877
2022-09-20,15361.379403270095
2022-09-21,15169.571687325217
2022-09-22,15166.877042014583
2022-09-23,14878.95060139847
2022-09-26,14754.890715323952
2022-09-27,14691.530199321678
2022-09-28,14836.115181659536
2022-09-29,14473.543695498207
2022-09-30,14242.259726838553
2022-10-03,14566.508918812504
2022-10-04,15031.148334772191
2022-10-05,14901.08307710422
2022-10-06,14644.558697517354
2022-10-07,14354.838643464409
2022-10-10,14375.749483993834
2022-10-11,14382.594115256657
